,context,condition,name,day,pause
52,dark,dreadd_dcz,M3,2,0.04851643945469126
53,dark,dreadd_dcz,M3,3,0.012547681188516362
54,dark,dreadd_dcz,M3,4,0.2617759069953899
55,dark,dreadd_dcz,M4,2,0.012248995983935742
56,dark,dreadd_dcz,M4,3,0.0
57,dark,dreadd_dcz,M4,4,0.0
58,dark,dreadd_dcz,M5,2,0.514368679283068
59,dark,dreadd_dcz,M5,3,0.57154300590768
60,dark,dreadd_dcz,M5,4,0.002310628892907374
63,dark,dreadd_dcz,R4,2,0.0265513426531228
64,dark,dreadd_dcz,R4,3,0.0036231884057971015
65,dark,dreadd_dcz,R4,4,0.005743651753325272
66,dark,dreadd_dcz,X2,2,0.06957132817990162
67,dark,dreadd_dcz,X2,3,0.10612899989968903
68,dark,dreadd_dcz,X2,4,0.0
69,dark,dreadd_dcz,X7,2,0.055828898483783515
70,dark,dreadd_dcz,X7,3,0.015359903624134122
71,dark,dreadd_dcz,X7,4,0.30351950265717437
72,dark,dreadd_dcz,Z1,2,0.3334001603849238
73,dark,dreadd_dcz,Z1,3,0.4742536565818473
74,dark,dreadd_dcz,Z1,4,0.06668675303806368
75,dark,dreadd_dcz,Z4,2,0.14660106436389195
76,dark,dreadd_dcz,Z4,3,0.515184925328255
77,dark,dreadd_dcz,Z4,4,0.31934965877157767
105,dark,nr_no_shock_control,V2,2,0.0
106,dark,nr_no_shock_control,V2,3,0.019935561820378575
107,dark,nr_no_shock_control,V2,4,0.08378541289933696
108,dark,nr_no_shock_control,V3,2,0.009468170829975826
109,dark,nr_no_shock_control,V3,3,0.0
110,dark,nr_no_shock_control,V3,4,0.0
111,dark,nr_no_shock_control,V4,2,0.057985553772070625
112,dark,nr_no_shock_control,V4,3,0.05753369543351439
113,dark,nr_no_shock_control,V4,4,0.10020120724346077
